areacode,areaid,areaname,level,link,pareaid
140700000000,1407,晋中市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/14/1407.html,14
140800000000,1408,运城市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/14/1408.html,14
140900000000,1409,忻州市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/14/1409.html,14
141000000000,1410,临汾市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/14/1410.html,14
141100000000,1411,吕梁市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/14/1411.html,14
150100000000,1501,呼和浩特市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/15/1501.html,15
150200000000,1502,包头市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/15/1502.html,15
150300000000,1503,乌海市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/15/1503.html,15
150400000000,1504,赤峰市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/15/1504.html,15
150500000000,1505,通辽市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/15/1505.html,15
150600000000,1506,鄂尔多斯市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/15/1506.html,15
150700000000,1507,呼伦贝尔市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/15/1507.html,15
150800000000,1508,巴彦淖尔市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/15/1508.html,15
150900000000,1509,乌兰察布市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/15/1509.html,15
152200000000,1522,兴安盟,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/15/1522.html,15
152500000000,1525,锡林郭勒盟,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/15/1525.html,15
152900000000,1529,阿拉善盟,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/15/1529.html,15
210100000000,2101,沈阳市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/21/2101.html,21
